problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,GA,"['100', '50', '30']",99.0,4010,0.22514050000000002,253310.0
CONTPEAKS,MIMIC,"['100', '50', '0.5']",88.0,2910,15.160931,321100.0
CONTPEAKS,RHC,"[]",98.0,3870,0.026915300000000003,3881.0
CONTPEAKS,SA,"['0.55']",99.0,5260,0.016707200000000002,5271.0
FLIPFLOP,GA,"['100', '50', '50']",627.0,4030,1.0646864,281843.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",842.0,3530,2890.1752091,389300.0
FLIPFLOP,RHC,"[]",789.0,4940,0.0565207,4951.0
FLIPFLOP,SA,"['0.55']",821.0,4950,0.031548599999999996,4961.0
NN,Backprop,"['\\NN', 'Backpro']",0.9448801000110001,210,25.721533899999997,0
NN,GA,"['\\NN', 'GA', '50', '10', '2']",0.8172424590340001,340,313.2302763,0
NN,RHC,"['\\NN', 'RH']",0.813083132404,490,19.730769600000002,0
NN,SA,"['\\NN', 'SA', '0.']",0.850205122519,490,20.308885600000004,0
TSP,GA,"['100', '50', '10']",0.115683326126,1530,0.38676560001500004,84490.0
TSP,MIMIC,"['100', '50', '0.1']",0.038729256105699994,4920,836.200974,542200.0
TSP,RHC,"[]",0.0622178929916,4940,0.0197413999886,4951.0
TSP,SA,"['0.55']",0.0724815226246,4810,0.016713299988599998,4821.0
