,gamma,values,policy,time,steps
0,0.1,"[ 3.52094219  5.20942185  1.59782609  3.33516484  3.5         5.
 -0.        ]",[3 1 0 2 3 1 0],0.000993490219116211,0
1,0.2,"[ 4.09598849  5.47994244  1.85714286  3.75609756  4.          5.
 -0.        ]",[3 1 0 2 3 1 0],0.0005002021789550781,0
2,0.30000000000000004,"[ 4.75169101  5.83897002  2.19736842  4.29452055  4.5         5.
 -0.        ]",[3 1 0 2 3 1 0],0.0005006790161132812,0
3,0.4,"[ 5.53109459  6.32773647  2.64705882  5.          5.          5.
 -0.        ]",[3 1 0 2 3 1 0],0.000499725341796875,0
4,0.5,"[ 6.50568568  7.01137136  3.25        5.95454545  5.5         5.
 -0.        ]",[3 1 0 2 3 1 0],0.0,0
5,0.6,"[ 7.79966264  7.99943773  4.07692308  7.30434783  6.          5.
 -0.        ]",[3 1 0 2 3 1 0],0.0,0
6,0.7000000000000001,"[ 9.64480874  9.49258392  5.25        9.33783784  6.5         5.
 -0.        ]",[3 1 0 2 3 1 0],0.0004985332489013672,0
7,0.8,"[12.52491886 11.90614857  7.         12.71428571  7.          5.
 -0.        ]",[3 1 0 2 3 1 0],0.0004968643188476562,0
8,0.9,"[19.82578705 18.69531895 12.71428571 21.47368421 12.         10.
 -0.        ]",[3 1 0 2 3 2 0],0.00099945068359375,2
